verdict,censusRecordId,censusName,hiltonName,ctyhocn,censusStatus,hiltonStatus,hiltonOpenDate,city,country,affiliation
match,recYrcf8HpJcNOqki,Ola Santiago Providencia Tapestry Collection by Hilton,"Ola Santiago Providencia, Tapestry Collection by Hilton",SCLPVUP,Open,Open,2023-04-27,Providencia,Chile,Tapestry Collection by Hilton
match,recZ00RNzg2wdr51M,Hampton by Hilton Grand Cayman Seven Mile Beach,Hampton by Hilton Grand Cayman Seven Mile Beach,GCMGCHX,Open,Open,2021-09-08,Cayman Islands,Cayman Islands,Hampton by Hilton
match,recZ0XRAtXv7Qy11w,Hilton Cartagena,Hilton Cartagena Hotel,CTGHIHH,Open,Open,,Cartagena,Colombia,Hilton
match,recZ85139KQRXwdmA,Hilton Garden Inn Belo Horizonte,Hilton Garden Inn Belo Horizonte,BHZBRGI,Open,Open,2016-02-18,Belo Horizonte,Brazil,Hilton Garden Inn
unverified_no_code,recZDon2IJp4CUuGi,"EOS Tulum, Curio Collection by Hilton",,,Pipeline,,,Tulum,Mexico,Curio Collection by Hilton
match,recZMExPQYHr6kHxO,Canopy by Hilton Cancun La Isla,Canopy by Hilton Cancun La Isla,CUNLIPY,Open,Open,2020-01-28,Cancun,Mexico,Canopy by Hilton
match,recZUCo7AVnTGfDBC,Hilton Garden Inn La Romana,Hilton Garden Inn La Romana,LRMLMGI,Open,Open,2023-07-12,La Romana,Dominican Republic,Hilton Garden Inn
match,recZY8fmuGXQd3DxN,Koi Resort Saint Kitts Curio Collection by Hilton,"Koi Resort Saint Kitts, Curio Collection by Hilton",SKBKRQQ,Open,Open,2019-12-18,Basseterre,Saint Kitts and Nevis,Curio Collection by Hilton
match,recZoafahfTVVw3Sd,DoubleTree By Hilton Hotel Iquitos,DoubleTree by Hilton Hotel Iquitos,IQTIPDT,Open,Open,2018-02-22,Iquitos,Peru,DoubleTree by Hilton
match,recZt66WxPF4ZyobF,DoubleTree by Hilton Sao Paulo Itaim,DoubleTree by Hilton Sao Paulo Itaim,SAODTDT,Open,Open,2019-11-08,Sao Paulo,Brazil,DoubleTree by Hilton
match,recaVvZSMGbd1rHpU,Hilton Garden Inn Silao Aeropuerto Bajio,Hilton Garden Inn Silao Aeropuerto Bajio,BJXBAGI,Open,Open,2021-12-08,Silao,Mexico,Hilton Garden Inn
