sourceRecordId,rawHotelName,rawCity,rawCountry,rawBrand,rawWebsite,qualityScore,qualityTier,missingFields,route,reason,matchedBrand,matchedFamily,independentLaneEligible,censusMatchConfidence,censusRecommendedAction,matchedCensusName,signalKinds
way/325724382,El Cabito,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/328364682,Cabañas Campo Amor,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/333932122,Hotel Diamante Azul,,Dominican Republic,,,60,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/334173540,Bellevue Dominican Bay,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,high,likely_existing,BelleVue Dominican Bay,
way/335856652,Hotel Breathless Punta Cana,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Breathless (Hyatt Inclusive Collection),Breathless (Hyatt Inclusive Collection),false,low,needs_research,Breathless Punta Cana Resort & Spa,known_chain_name
way/335856784,Dreams Punta Cana Resort & Spa,Punta Cana,Dominican Republic,,,75,high,missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Dreams (Hyatt Inclusive Collection),Dreams (Hyatt Inclusive Collection),false,low,needs_research,Nickelodeon Resort Punta Cana,known_chain_name
way/336698722,Aparta Hotel Turey,,Dominican Republic,,,70,high,missingCity|missingWebsite,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/339752040,Hotel Caribe,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/341067667,Hostal Doña Chava,,Dominican Republic,,http://www.donachava.com/,70,high,missingCity|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/342557503,Cabañas Ciudad Corazón,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/342786288,Bahía Príncipe Playa Nueva La Romana,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Bahía Príncipe,Bahía Príncipe,false,low,needs_research,Bahia Principe Explore La Romana,known_chain_name
