recordId,name,fields
recogOWwY4RqoMW7u,"LXR Hotels & Resorts Zemi Beach House",Year Affiliated
recp3BuHUFzFeCNd5,"Hilton Trinidad & Conference Centre",Year Affiliated
recpFa441YMotl8Lw,"DoubleTree by Hilton Celaya",Year Affiliated
recpRSWB5yXwXdyHG,"Hilton Guadalajara Midtown",Year Affiliated
recpSXUiBJyCS9ESu,"DoubleTree by Hilton Guayaquil",Year Affiliated
recphttl3lgozk9Gj,"Hampton by Hilton Cali Colombia",Year Affiliated
recpvs4LwBMc0GKNZ,"Hampton Inn by Hilton Reynosa/Zona Industrial",Year Affiliated
recpyBukrc5Pmffok,"Curio Collection by Hilton Mangrove Beach Corendon Curacao All-Inclusive Resort",Year Affiliated
recq8Rg8upSJf92vL,"Hilton Garden Inn Boca Del Rio Veracruz",Year Affiliated
recqOCUeRMrh06nef,"Hilton Monterrey",Year Affiliated
recqW4g4LGNvnovrq,"Hampton Inn by Hilton Leon Guanajuato",Year Affiliated
recr2wc8oBpm46jWj,"DoubleTree by Hilton Foz do Iguacu Brazil",Year Affiliated
recrHckQP55XZ9T9G,"Hampton Inn by Hilton Chihuahua City",Year Affiliated
recrQn2SaH08gIknY,"Hilton Garden Inn Bogota Airport",Year Affiliated
recrVkCsIjx0hjr3K,"Dreams Rose Hall Resort & Spa",Year Affiliated
recrikOk2m2grKJv9,"Royal Palm Galapagos Curio Collection by Hilton",Year Affiliated
recrp3O4pJkbNDl4Q,"MS Milenium Monterrey Curio Collection by Hilton",Year Affiliated
recrt0BVRIc581hh9,"Hampton by Hilton Valledupar",Year Affiliated
recsfdgt5QDnDJNO4,"Hampton by Hilton Santa Cruz/Equipetrol Bolivia",Year Affiliated
rectQ1CDJUMv5xNJ9,"Hilton Vallarta Riviera All Inclusive Resort",Year Affiliated
rectfK5qimGPYc6Re,"Hilton La Romana, an All-Inclusive Adult Only Resort",Year Affiliated
rectoi6KxnMR0guvX,"Gran Hotel Costa Rica Curio Collection by Hilton",Year Affiliated
recu51JABui6zulIr,"Botanika Osa Peninsula Resort Curio Collection by Hilton",Year Affiliated
recuWLICx9WtOrSvh,"Hilton Garden Inn Monterrey Obispado",Year Affiliated
recunKuZvWFIcaTEx,"Hampton by Hilton Bucaramanga",Year Affiliated
recuzI4Vhe1Mu1pjQ,"Embassy Suites by Hilton Santo Domingo",Year Affiliated
recv0t7j79fnXdXlR,"Hilton Panama",Year Affiliated
recv7oiw7f6fX8SOj,"Tru by Hilton Monterrey Fundidora",Year Affiliated
recvFI0CWUThIwUTS,"Hilton Garden Inn Leon Poliforum",Year Affiliated
recvQ61LspBBZxM0t,"DoubleTree by Hilton Lima San Isidro",Year Affiliated
recvRQ6pgTaVqXr6y,"Hilton Garden Inn San Jose Airport City Mall",Year Affiliated
recvrtZoFJjmDZqun,"Hilton Garden Inn San Juan Condado",Year Affiliated
recwszIyvIDDuaFgC,"Hampton  Inn Zacatecas",Year Affiliated
recx0OvNOBmyS6SUP,"Fiesta Inn Express Cancun Cumbres",Year Affiliated
recx3WgeBGaGsx0Ee,"Hilton Cancun Resort",Year Affiliated
recxCNeu71Xyy8xhY,"DoubleTree by Hilton Hotel Queretaro",Year Affiliated
recxriaGzhdw0HAyb,"Waldorf Astoria Cancun",Year Affiliated
recxwqV4cQPaaT3T0,"Hilton Garden Inn Santa Marta",Year Affiliated
recyYi9T5S2WCoFoV,"Hampton Inn by Hilton Monterrey/Galerias-Obispado",Year Affiliated
recylWxkvo9yFTDJj,"DoubleTree by Hilton Hotel Santiago - Vitacura",Year Affiliated
recypLLe3st6SJl0s,"Nacar Hotel Cartagena Curio Collection",Year Affiliated
recyq7cHeUFqDjPLs,"SORO Montevideo Curio Collection by Hilton",Year Affiliated
recysCtTLGnftfwni,"Hilton Garden Inn Aguascalientes",Year Affiliated
recz39d2LktlKidzz,"Hilton Tulum Riviera Maya All-Inclusive",Year Affiliated
recz4rePhwtGzaTzr,"Hualta Hotel Mendoza Curio Collection by Hilton",Year Affiliated
reczdjyhPCOlyIHgw,"Hilton Garden Inn Puebla Angelopolis",Year Affiliated
reczeUpJMc6uiCfGw,"Hilton Garden Inn Guadalajara Airport",Year Affiliated
