propertyId,name,city,country,countryCode,brand,propertyUrl
TUCTC,Iberostar Waves Tucán,Quintana Roo,Mexico,MX,iberostar-waves,https://www.ihg.com/iberostar-waves/hotels/us/en/playa-del-carmen/tuctc/hoteldetail
TLUZO,Holiday Inn Express & Suites Toluca Zona Aeropuerto,Estado de Mexico,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/toluca/tluzo/hoteldetail
GDLCT,Holiday Inn & Suites Guadalajara Centro Historico,Jalisco,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/guadalajara/gdlct/hoteldetail
MTYCC,Holiday Inn Monterrey-Parque Fundidora,Nuevo Leon,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/monterrey/mtycc/hoteldetail
MEXZR,Holiday Inn & Suites Mexico Zona Reforma,Ciudad de México,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/mexico/mexzr/hoteldetail
MTYCP,Crowne Plaza Monterrey Aeropuerto,Nuevo Leon,Mexico,MX,crowneplaza,https://www.ihg.com/crowneplaza/hotels/us/en/monterrey/mtycp/hoteldetail
MEXVC,voco Ciudad de Mexico Reforma,Ciudad de México,Mexico,MX,voco,https://www.ihg.com/voco/hotels/us/en/ciudad-de-mexico/mexvc/hoteldetail
PBCAX,Holiday Inn Tlaxcala,Tlaxcala,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/tlaxcala/pbcax/hoteldetail
GDLHI,Holiday Inn Guadalajara Select,Jalisco,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/guadalajara/gdlhi/hoteldetail
VCRDT,Holiday Inn Express Veracruz Centro Historico,Veracruz,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/veracruz/vcrdt/hoteldetail
MTTCO,Holiday Inn Coatzacoalcos,Veracruz,Mexico,MX,holidayinn,https://www.ihg.com/holidayinn/hotels/us/en/coatzacoalcos/mttco/hoteldetail
JUAZO,Holiday Inn Express & Suites Cd. Juarez - Las Misiones,Chihuahua,Mexico,MX,holidayinnexpress,https://www.ihg.com/holidayinnexpress/hotels/us/en/ciudad-juarez/juazo/hoteldetail
