brand,brandCode,status,censusRecordId,censusName,directoryName,directoryBrandPropertyCode,matchConfidence,matchScore,fieldsToApply
Curio Collection by Hilton,QQ,unmatched_directory,,,"Kwetu Nairobi, Curio Collection by Hilton",NBOKNQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Kyukaruizawa Kikyo, Curio Collection by Hilton",MMJKZQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"La Festa Phu Quoc, Curio Collection by Hilton",PQCPQQQ,none,44,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Le Hameau des Pesquiers Ecolodge & Spa, Curio Collection by Hilton",TLNLEQQ,none,40,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Legacy Hotel Cascais, Curio Collection by Hilton",LCTLHQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Legend Hotel Lagos Airport, Curio Collection by Hilton",LOSLHQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Les Temps Istanbul Karakoy, Curio Collection by Hilton",ISTAYQQ,none,44,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Lincoln Plaza London, Curio Collection by Hilton",LONCUQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Live Casino & Hotel Louisiana, Curio Collection by Hilton",SHVLVQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,"LondonHouse Chicago, Curio Collection by Hilton",CHILHQQ,none,51,
Curio Collection by Hilton,QQ,unmatched_directory,,,Lost Property St Paul's London - Curio Collection by Hilton,LONCCQQ,none,43,
Curio Collection by Hilton,QQ,ready,rec4NKyjfJZBOZkYu,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton","Mahogany Bay Resort & Beach Club, Curio Collection by Hilton",TZAMBQQ,high,98,Conference (Y/N)
Curio Collection by Hilton,QQ,unmatched_directory,,,"Maison Astor Paris, Curio Collection by Hilton",PARAHQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Maison Heler Metz, Curio Collection by Hilton",ETZMHQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Majestic Palace Sorrento, Curio Collection by Hilton",NAPMPQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Mangia's Santa Teresa Sardinia, Curio Collection by Hilton",OLBCCQQ,none,44,
Curio Collection by Hilton,QQ,no_changes,recNP2jHW1fVPY85A,The Rif at Mangrove Beach Corendon Curacao All-Inclusive Curio by Hilton,"Mangrove Beach Corendon Curacao All-Inclusive Resort, Curio by Hilton",CURRYQQ,high,100,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Marina Baie des Anges Hotel, Curio Collection by Hilton",NCEVMQQ,none,42,
Curio Collection by Hilton,QQ,no_changes,recrp3O4pJkbNDl4Q,MS Milenium Monterrey Curio Collection by Hilton,"MS Milenium Monterrey, Curio Collection by Hilton",MTYMMQQ,high,98,
Curio Collection by Hilton,QQ,no_changes,recypLLe3st6SJl0s,Nacar Hotel Cartagena Curio Collection,"Nacar Hotel Cartagena, Curio Collection by Hilton",CTGMAQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Next Hotel Melbourne, Curio Collection by Hilton",MELNXQQ,none,54,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Niepce Paris Hotel, Curio Collection by Hilton",PARFRQQ,none,48,
Curio Collection by Hilton,QQ,no_changes,recAaTLAMer14ZEuG,"Mahogany Bay Resort & Beach Club, Curio Collection by Hilton","Numo Ierapetra Beach Resort Crete, Curio Collection by Hilton",HERNIQQ,high,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Palacio de Godoy Caceres, Curio Collection by Hilton",BJZPGQQ,none,45,
Curio Collection by Hilton,QQ,no_changes,rechQ0MeFN0eQjDkl,Palacio Provincial San Juan Curio Collection by Hilton,"Palacio Provincial San Juan, Curio Collection by Hilton",SJUPPQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Picciolo Etna Golf Resort & Spa, Curio Collection by Hilton",CTASIQQ,none,50,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Porta Chiara Hotel Istanbul Karakoy, Curio Collection by Hilton",ISTRCQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Punta Sal Suites and Bungalows, Curio Collection by Hilton",PTLSBQQ,none,42,
Curio Collection by Hilton,QQ,no_changes,recHVAuSZvmUQqhwS,Qoya Hotel Curitiba Curio Collection by Hilton,"Qoya Hotel Curitiba, Curio Collection by Hilton",CWBPRQQ,high,98,
Curio Collection by Hilton,QQ,no_changes,recENAmPhqW1rsrxj,"Qoya Hotel Sao Paulo, Curio Collection by Hilton","Qoya Hotel Sao Paulo, Curio Collection by Hilton",SAOCRQQ,high,98,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Revery Toronto Downtown, Curio Collection by Hilton",YYZDTQQ,none,48,
Curio Collection by Hilton,QQ,unmatched_directory,,,"Reykjavik Konsulat Hotel, Curio Collection by Hilton",REKCUQQ,none,48,
Curio Collection by Hilton,QQ,no_changes,recrikOk2m2grKJv9,Royal Palm Galapagos Curio Collection by Hilton,"Royal Palm Galapagos, Curio Collection Hotel by Hilton",GPSRPQQ,high,98,
