appliedAt,censusRecordId,censusName,country,changeType,currentAffiliation,canonicalAffiliation,fieldsJson
2026-07-22T23:07:35.068Z,recfJwzEQpnITOiLm,"Quality Suites Vila Olimpia",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:35.315Z,recgsmZj8eX58oTd9,"Quality Hotel Manaus",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:35.566Z,reco9433E1Eco3RLW,"Quality Hotel & Suites Sao Salvador",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:35.800Z,recp21Xe2exhYCQLi,"Quality Hotel Real San Jose",Costa Rica,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:36.056Z,recqAsAbHmJ5Vg2j7,"Quality Hotel Real Aeropuerto Santo Domingo",Dominican Republic,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:36.281Z,recrq5oWLlU3I3Wdg,"Quality Hotel Porto Alegre",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:36.512Z,recssgUodOjS9owNf,"Quality Hotel Rio de Janeiro - Barra da Tijuca",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:36.752Z,recuPczqHC2srskUK,"Quality Suites Alphaville",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:36.985Z,recv3es2CjcAZmg5l,"Quality Hotel & Suites Brasilia",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
2026-07-22T23:07:37.219Z,recvyJN4aD5Gh4yXJ,"Quality Hotel Sao Caetano",Brazil,affiliation_normalize,"Quality","Quality Inn","{""Affiliation"":""Quality Inn""}"
