source_record_id,property_name,current_brand,city,lane,intake_class,decision,identity_confidence,human_review_required,production_writable_insert,queue_autopilot_enrichment,reasons,checks_passed
way/177332376,Crowne Plaza,Crowne Plaza,Santo Domingo,known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,auto_insert,High,false,true,true,active_or_soft_brand_gates_passed,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/177332379,Renaissance Hotel,Renaissance Hotels,Santo Domingo,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,High,true,true,false,known_chain_backlog_gates_passed_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|has_city
way/199921835,Gran Bahia Principe El Portillo,Bahía Príncipe,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
way/204089278,Casa Marina Beach & Reef,Amhsa Marina Hotels,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
way/233446403,Hodelpa Gran Almirante,Hodelpa,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
way/236000172,Luxury Bahia Principe Samana,Bahía Príncipe,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
way/245917690,Cabañas Monte Lola,Cesar Ureña,Unknown,known_brand_census_intake,steward_brand_tag_review,steward_hold,Hold,true,false,false,steward_unresolved_osm_brand_tag,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
way/251860535,Quality Inn,Quality Inn,Unknown,known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,steward_hold,Medium,true,false,false,missing_official_property_url,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate
way/253123206,Catalonia Royal La Romana,Catalonia,Unknown,known_brand_census_intake,known_chain_census_backlog_not_active_setup,auto_insert,Medium,true,true,false,known_chain_backlog_insert_city_unknown_hr,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok|city_unknown_allowed_with_hr
way/253125050,Hilton La Romana,Hilton Hotels & Resorts,Unknown,known_brand_census_intake,active_or_soft_brand_census_plus_autopilot,steward_hold,Medium,true,false,false,known_brand_missing_city,has_name|not_hostel_or_hostal|has_country|hpc_not_duplicate|has_non_denylist_website|website_not_weak_or_corroborated|has_resolved_brand|known_brand_quality_ok
