ownerName,priorityTier,propertyCount,countriesSummary,companyName,matchType,researchStatus,hasCompanyOverview,website,researchAction
"Operadora de Hotels Azul Talaver, S.A. de C.V.",C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Urban Hotels SRL de CV,C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
"Proyectos Residenciales y Habitacionales, SA de CV",C,1,Mexico,Grupo Habita,partial,import_only,false,https://grupohabita.mx,add_costar_profile_screenshot
MCHotels,C,1,Antigua and Barbuda,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Grand Hotels Lux,C,1,Argentina,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Clearly Cayman Dive Resorts,C,1,Cayman Islands,Cayman Group,partial,import_only,false,https://caymangroup.eu,add_costar_profile_screenshot
Ty Warner Hotels & Resorts,C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Pelican Eyes Hotel & Resort,C,1,Nicaragua,L&R,partial,import_only,false,https://lrp.co.uk,add_costar_profile_screenshot
Grupo Amano Internacional S.A.,C,1,Nicaragua,Amano Group,partial,import_only,false,https://amanogroup.de,add_costar_profile_screenshot
LVMH Hotel Management,C,1,Saint-Barthélemy,LVMH Hotel Management,exact,import_only,false,https://lvmh.com,add_costar_profile_screenshot
Langley Hotels & Resorts SARL,C,1,Guadeloupe,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Morris Rudolph Palmer,C,1,Panama,Palm Holdings,partial,import_only,false,https://palm-holdings.com,add_costar_profile_screenshot
InvestHotels,C,1,Brazil,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Irina Barrett,C,1,Panama,Rina Group,partial,import_only,false,https://rinagroup.com,add_costar_profile_screenshot
COMO Hotels and Resorts PTE Ltd,C,1,Caicos Islands,COMO Hotels and Resorts PTE Ltd,exact,import_only,false,https://comohotels.com,add_costar_profile_screenshot
Pursuit Collection,C,1,Costa Rica,Pursuit Collection,exact,import_only,false,https://pursuitcollection.com,add_costar_profile_screenshot
Owner 1: Soul Community Planet | Owner 2: Hovde Properties,C,1,Costa Rica,Soul Community Planet,exact,import_only,false,https://alphawaveinvestors.com,add_costar_profile_screenshot
