sourceRecordId,rawHotelName,rawCity,resolvedCity,rawWebsite,resolvedWebsite,qualityScore,route,reason,matchedBrand,censusRecommendedAction,wikidataQid,wikidataCity,wikidataWebsite,wikidataMatchConfidence,wikidataMatchScore,plan_tier,plan_next
node/9525549270,Bamboojam Villa,,,bamboojamvilla.com,bamboojamvilla.com,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/9566324244,Las Puertas Del Paraiso,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884767,,,high,90,wikidata_matched_needs_website,official_site_lookup_or_webhound_hard_case
node/9631615727,Terramar,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/9668071343,El Encuentro Surf Lodge,,,https://elencuentrosurflodge.com/,https://elencuentrosurflodge.com/,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q112020295,,,high,90,enrich_city_then_promote,city_from_wikidata_or_geocode_steward
node/9671944817,Heidy’s Guesthouse,,,,,60,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/9856719770,Hotel Villa La Plantacion,Las Galeras,Las Galeras,https://villalaplantacion.com,https://villalaplantacion.com,100,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,Q111884808,,,high,75,promote_plan_l1_ready,dry_run_census_insert_affiliation_independent
node/10093756817,Casa de Bethania,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/10095525617,Catalina Tropical Lodge,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/10176619116,Hacienda La Promesa,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/10208337426,The water melon house,,,,,55,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/10262424309,Villa Paula,,,,,60,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/10596455107,Hotel Glamour,,,,,70,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
node/10681170892,Triton Hotel Boutique & Restaurant,,,,,60,independent_unaffiliated_candidate,no_active_brand_signal,,likely_new_candidate,,,,,,hard_case_no_website_no_city,webhound_candidate_after_wikidata
